SMILES T P density einter compress
CC[C@@H](CO)C 418 50 6.969e-01 -3.665e+01 2.469e-04
CC[C@@H](CO)C 387 100 7.361e-01 -4.047e+01 1.936e-04
CC[C@@H](CO)C 291 250 8.321e-01 -5.280e+01 6.340e-05
CC[C@@H](CO)C 418 750 7.647e-01 -4.067e+01 9.073e-05
CC[C@@H](CO)C 228 1000 9.004e-01 -5.932e+01 3.279e-05
CCC[C@H](O)C 392 1 7.122e-01 -3.855e+01 2.281e-04
CCC[C@H](O)C 363 50 7.489e-01 -4.262e+01 1.790e-04
CCC[C@H](O)C 392 100 7.238e-01 -3.933e+01 1.974e-04
CCC[C@H](O)C 334 250 7.942e-01 -4.758e+01 9.763e-05
CCC[C@H](O)C 247 500 8.732e-01 -5.770e+01 4.319e-05
CCC[C@H](O)C 363 500 7.882e-01 -4.520e+01 1.015e-04
CCC[C@H](O)C 392 1000 7.961e-01 -4.382e+01 8.065e-05
OC1CCCCC1 321 1 9.284e-01 -5.347e+01 6.076e-05
OC1CCCCC1 378 100 8.745e-01 -4.548e+01 9.593e-05
CCCCCCO 320 50 8.078e-01 -5.629e+01 8.039e-05
CCCCCCO 488 250 6.833e-01 -3.857e+01 2.553e-04
CCCCCCO 454 750 7.566e-01 -4.481e+01 1.157e-04
CCCCC(O)C 437 1000 7.734e-01 -4.386e+01 8.719e-05
CCCC(CC)O 372 50 7.432e-01 -4.363e+01 1.475e-04
CCCC(CC)O 280 100 8.343e-01 -5.770e+01 5.990e-05
CCCC(CC)O 311 100 8.077e-01 -5.356e+01 8.744e-05
CCCC(CC)O 341 500 8.062e-01 -5.039e+01 6.954e-05
CCCC(CC)O 433 750 7.551e-01 -4.130e+01 1.007e-04
CCCC(CO)C 250 250 8.646e-01 -6.183e+01 4.635e-05
CCCC(CO)C 483 250 6.781e-01 -3.621e+01 2.592e-04
OCCC(CC)C 281 1 8.348e-01 -5.896e+01 6.740e-05
OCCC(CC)C 344 1 7.841e-01 -5.162e+01 9.912e-05
OCCC(CC)C 281 100 8.409e-01 -5.966e+01 6.198e-05
OCCC(CC)C 376 250 7.756e-01 -4.861e+01 1.039e-04
OCCC(CC)C 250 500 8.797e-01 -6.324e+01 4.592e-05
OCCC(CC)C 439 500 7.489e-01 -4.348e+01 1.221e-04
OCCCC(C)C 350 1 7.760e-01 -5.098e+01 1.141e-04
OCCCC(C)C 317 100 8.105e-01 -5.577e+01 7.616e-05
OCCCC(C)C 416 100 7.258e-01 -4.344e+01 1.899e-04
OCCCC(C)C 350 500 8.102e-01 -5.346e+01 8.063e-05
OCCCC(C)C 450 500 7.377e-01 -4.284e+01 1.330e-04
OCCCC(C)C 450 1000 7.738e-01 -4.541e+01 8.238e-05
CC(CC(O)C)C 244 100 8.612e-01 -6.029e+01 5.559e-05
CC(CC(O)C)C 208 250 8.856e-01 -6.166e+01 3.287e-05
CC(CC(O)C)C 423 500 7.457e-01 -4.105e+01 1.227e-04
CC(CC(O)C)C 208 750 8.998e-01 -6.207e+01 2.737e-05
CC(CC(O)C)C 280 750 8.657e-01 -5.906e+01 4.475e-05
CC(CC(O)C)C 208 1000 9.082e-01 -6.181e+01 3.007e-05
CCCC(O)(C)C 232 1 8.655e-01 -5.672e+01 5.538e-05
CCCC(O)(C)C 304 1 8.095e-01 -4.977e+01 9.268e-05
CCCC(O)(C)C 268 500 8.687e-01 -5.624e+01 4.266e-05
